ISO3,NAME1,AREA,LON,LAT,UN_2000_E,LON,LAT,UN_2005_E,LON,LAT,UN_2010_E,LON,LAT,UN_2015_E,LON,LAT,UN_2020_E,LON,LAT
AUS,Tasmania,68468.35642,146.6307676,-41.94694072,439952,146.9860698,-42.07357174,466823,146.9860378,-42.07354627,510319,146.9860326,-42.07352626,551917,146.9860494,-42.07352859,589431,146.9860574,-42.07354765
AUS,Western Australia,2536343.084,122.879742,-25.18459887,1986547,116.4889706,-31.48906782,2107933,116.4890542,-31.48897596,2304387,116.4889691,-31.48902322,2492313,116.4889835,-31.48900873,2661811,116.4889485,-31.48899485
AUS,Other Territories,218.2509174,125.0574492,-17.78684368,2672,114.893831,-13.72208328,2835,114.8745007,-13.71380347,3101,114.8304457,-13.69886797,3352,114.8134373,-13.69142398,3580,114.7597467,-13.67207609
AUS,Queensland,1738048.018,144.6603525,-22.39806325,3845482,151.7861893,-25.7688131,4080645,151.7862174,-25.76883747,4460962,151.7861926,-25.76876355,4824773,151.7862356,-25.76879913,5152836,151.7862408,-25.76875095
AUS,South Australia,986906.4625,135.9207975,-30.01469403,1418805,138.6283174,-34.84201142,1505431,138.6283213,-34.84202213,1645603,138.6283229,-34.84204178,1779675,138.6283168,-34.84204212,1900493,138.6283102,-34.84203738
AUS,Northern Territory,1353601.321,133.5648265,-19.28441289,186830,132.2474183,-14.77614395,198292,132.2474658,-14.77575709,216813,132.2469681,-14.77505488,234556,132.2467276,-14.77436599,250560,132.2463952,-14.77365274
AUS,Australian Capital Territory,2363.138462,149.0030272,-35.48831346,317419,149.0935634,-35.2988189,336842,149.0935659,-35.29882366,368257,149.0935692,-35.29881511,398288,149.0935713,-35.29881111,425404,149.0935788,-35.29880694
AUS,Victoria,227730.6761,144.3194626,-36.82808481,4759411,144.957674,-37.71346172,5050075,144.9576742,-37.71347173,5520470,144.957668,-37.71347595,5970388,144.9576758,-37.71348842,6376059,144.9576803,-37.71349782
AUS,New South Wales,802997.6448,147.1075379,-32.09532208,6147825,150.9406556,-33.43323468,6523192,150.9406542,-33.43325042,7130409,150.9406759,-33.43325226,7711239,150.9406876,-33.43325725,8234982,150.940709,-33.4332622
RUS,Burjatija,350840.2907,109.9176468,53.44510773,987371,107.795418,51.97131797,973638,107.7954075,51.97131121,974075,107.7954133,51.97131196,978234,107.7954115,51.97131064,975031,107.7954067,51.97130673
RUS,Krasnojarskij,2316200.234,105.9354571,65.39441898,3013182,97.98769453,56.97056855,2901259,97.98770198,56.97057082,2834158,97.98769744,56.9705663,2779182,97.9876876,56.97056564,2704819,97.98769783,56.97057036
RUS,Omskaja,140692.8053,73.16005768,56.04669762,2113574,73.31614776,55.12333251,2031916,73.31614606,55.12333383,1981839,73.3161455,55.12333134,1940388,73.31614578,55.12333385,1885537,73.31614616,55.12333444
RUS,Chuvashskaja,18361.60437,47.0786415,55.48479428,1334918,47.22071806,55.81681625,1284647,47.2207183,55.81681682,1254264,47.22071713,55.81681557,1229272,47.22071647,55.8168164,1195738,47.22071741,55.81681614
RUS,Magadanskaja,460827.3506,153.9536608,62.60331965,190526,151.0883425,60.52341181,171887,151.0883876,60.52343736,157328,151.0884084,60.52345356,144551,151.0884143,60.52344424,131815,151.0883444,60.52341982
