ISO3,AREA,LON,LAT,UN_2000_E,LON,LAT,UN_2005_E,LON,LAT,UN_2010_E,LON,LAT,UN_2015_E,LON,LAT,UN_2020_E,LON,LAT
REU,2525.185444,55.5326038,-21.13319451,736712,55.474172,-21.0911418,791601,55.47459422,-21.0918648,830516,55.47497506,-21.09254203,861157,55.47531359,-21.09317406,891863,55.47560892,-21.09376132
MRT,1046448.689,-10.35464827,20.18467423,2711423,-12.96051813,17.16724056,3154089,-12.97565772,17.16701381,3591395,-12.98613963,17.16901375,4067561,-12.98156228,17.17054483,4573162,-12.94502204,17.16755905
GNB,34018.96235,-14.98124035,12.01272421,1315454,-15.24770773,12.02558241,1462783,-15.24708383,12.02327756,1634196,-15.247036,12.02069598,1844326,-15.24757059,12.01784565,2068360,-15.24869011,12.01474211
GMB,10760.69405,-15.37641419,13.44736319,1228865,-15.92164978,13.41964898,1440541,-15.94649869,13.4145693,1693003,-15.97808201,13.40912238,1990924,-16.01592136,13.40339786,2325503,-16.05929317,13.39751795
LBR,96547.89875,-9.305011279,6.442675962,2891970,-9.799802593,6.531025283,3269789,-9.817498259,6.520288323,3957988,-9.835640879,6.509088303,4503434,-9.85421208,6.49753208,5090857,-9.873185865,6.485730027
COM,1683.46772,43.68311532,-11.89382206,547695,43.58031286,-11.97840284,618633,43.5825176,-11.97740314,698695,43.58491508,-11.97647336,788475,43.58751939,-11.9756195,883162,43.59033637,-11.97484378
MUS,2037.834512,57.89637673,-20.11022579,1185135,57.73311157,-20.22251276,1222009,57.73959334,-20.22154267,1247944,57.74603835,-20.22053793,1273216,57.75243875,-20.21950635,1291365,57.75875481,-20.21844515
SHN,413.450148,-10.36763889,-23.57763299,5113,-7.076320692,-15.8713404,4273,-7.202499578,-15.84956813,4174,-7.339413217,-15.83228958,3960,-7.485104076,-15.80571024,4052,-7.639431658,-15.77833883
NAM,827940.2631,17.20620226,-22.02798885,1897917,17.09797025,-19.69827234,2026987,17.07996129,-19.76413477,2193651,17.06086699,-19.83862581,2458857,17.04025723,-19.92166128,2731167,17.01773845,-20.01322155
STP,1008.98678,6.71641521,0.436354026,137163,6.705119469,0.36453705,153145,6.70464832,0.363650468,170880,6.704163811,0.362747853,190345,6.703666064,0.361828071,211039,6.703154177,0.360890675
DZA,2316660.347,2.687616092,27.90663249,31183672,3.564902995,35.61826694,33267889,3.5542128,35.58618705,36036160,3.539624024,35.55580317,39666524,3.518149077,35.52816546,43007779,3.482755899,35.5057225
MAR,414726.5202,-6.350500229,31.78356593,28950537,-6.605606569,33.14410475,30385497,-6.617734315,33.1491751,32107727,-6.630631364,33.15454149,34377536,-6.644173354,33.1604361,36444326,-6.658258975,33.16706359
TZA,947930.8781,34.81670332,-6.246951048,33991626,35.14037561,-5.495083573,39065605,35.15186673,-5.483812382,45648534,35.1710748,-5.475281647,53470413,35.19876471,-5.46979839,62267306,35.23560589,-5.467649151
MYT,394.0448635,45.14839872,-12.82118017,150330,45.16900264,-12.80154281,178105,45.16941748,-12.80197551,208723,45.16976202,-12.80229568,240016,45.17004378,-12.80250223,273169,45.17026484,-12.80258491
SSD,626242.1229,30.27723553,7.297582441,6692998,30.19626321,7.448572054,8099910,30.40234472,7.291519571,10056478,30.66994619,7.06792796,12339810,31.02074712,6.754201438,14122216,31.45288335,6.349581572
TCD,1277274.458,18.65594411,15.26358,8343320,17.2018959,11.2140708,10067931,17.2703245,11.29839304,11896384,17.34673246,11.3931896,14037472,17.4321838,11.50015587,16431331,17.52779516,11.62116054
CAF,624212.867,20.48003514,6.56640315,3726051,18.4267592,5.462065516,4055610,18.42732814,5.457245106,4444975,18.427908,5.452325637,4900272,18.42849405,5.447309704,5408762,18.4290933,5.442194437
SWZ,17359.43378,31.50144614,-26.5627653,1063712,31.43003899,-26.54428507,1104642,31.42882174,-26.53734455,1193147,31.42756233,-26.53065415,1286969,31.42626307,-26.52421133,1366260,31.4249278,-26.51802199
NER,1190149.909,9.348844578,17.37190794,11224530,5.763931723,13.98643273,13485434,5.843709089,13.99581361,16291990,5.922967902,14.0081782,19899121,6.000502344,14.02431898,24314935,6.074580523,14.04520701
TGO,57362.14939,0.978417336,8.523162233,4874736,1.067484527,7.776018675,5578218,1.062969838,7.78087215,6390851,1.059552319,7.774233169,7304579,1.057658009,7.752637811,8293638,1.057696213,7.71295649
LSO,30558.83991,28.25531181,-29.57738364,1856226,27.94695833,-29.47182547,1925845,27.95044748,-29.46670051,2010589,27.95378401,-29.46167174,2135019,27.95697492,-29.45674428,2257685,27.96003006,-29.45192277
CIV,323718.783,-5.554248142,7.617594168,16517947,-5.280002774,6.649197546,18132700,-5.294273662,6.65793596,20131708,-5.309636723,6.66834307,22701557,-5.326227514,6.680664025,25565548,-5.344204667,6.695176957
BFA,276483.0775,-1.750926498,12.27738009,11607946,-1.903373884,12.28650757,13421932,-1.897925067,12.27377678,15632065,-1.893803434,12.25844393,18105567,-1.891316727,12.24021306,20860547,-1.890877708,12.21872558
ZWE,392719.7753,29.86840749,-18.97785257,12499978,30.5498167,-18.7327012,12984415,30.56859361,-18.71089362,13973888,30.58647654,-18.68930288,15602757,30.60347686,-18.66792694,17470712,30.61960649,-18.64675801
GHA,239866.2373,-1.210920546,7.956559427,18824994,-1.0300349,6.929191074,21389515,-1.017026195,6.913531629,24317733,-1.005637556,6.897473688,27409894,-0.996058388,6.881136524,30530454,-0.988465614,6.864645177
DJI,21819.97871,42.57940626,11.73336529,722562,42.86877468,11.56347109,778406,42.86527857,11.57068199,830804,42.86130748,11.5788374,887861,42.85683964,11.58796818,946669,42.85186698,11.59808335
HMD,362.3585408,73.51061832,-53.09260553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,116156.3345,2.338494937,9.644165901,6949364,2.262271675,7.967874554,8182359,2.270037839,8.004292224,9509797,2.278728002,8.034833059,10879833,2.288169056,8.059252942,12360722,2.298172158,8.077378747
ETH,1138268.832,39.6469644,8.602673365,66443604,38.61422704,9.12736503,76608431,38.61115825,9.096837147,87561827,38.60776565,9.066642252,99390752,38.60402912,9.036797139,111971077,38.59992604,9.007316383
SOM,636866.1751,45.84463432,6.030179152,7385418,45.13907863,4.98650845,8466936,45.13908017,4.98650918,9581716,45.13907975,4.98650769,10787106,45.13907954,4.986507743,12422738,45.13907873,4.986507792
ZMB,755806.3292,27.82823106,-13.42528451,10585218,28.60291549,-13.59149603,12043586,28.60676878,-13.59874854,13917434,28.61507099,-13.60144463,16211765,28.62734396,-13.59814978,18882332,28.64382866,-13.58398082
MDG,594541.1829,46.73670379,-19.28092798,15744814,47.42699647,-19.32197851,18290396,47.39593233,-19.31770743,21079543,47.36047809,-19.31852035,24235410,47.32046058,-19.32456534,27798958,47.27578927,-19.33579336
UGA,243049.3086,32.3912358,1.279902924,23757641,32.20305601,0.910303184,28042404,32.21677262,0.916015094,33149427,32.22967662,0.923401097,39032386,32.24151541,0.931885177,45856370,32.25203695,0.941010013
GNQ,27201.25795,10.33110762,1.701262853,530896,9.98671726,2.117810223,625867,9.974281736,2.128987566,728711,9.9618023,2.140293174,845060,9.949294828,2.151729806,970827,9.936759986,2.163290472
