ISO3,AREA,LON,LAT,UN_2000_E,LON,LAT,UN_2005_E,LON,LAT,UN_2010_E,LON,LAT,UN_2015_E,LON,LAT,UN_2020_E,LON,LAT
ZWE,392719.77532705065,29.839588441244675,-18.97785256703601,12499978.0,30.52873086376242,-18.732701196193307,12984415.0,30.547674476897377,-18.71089362126749,13973888.0,30.56572912335335,-18.689302877764018,15602757.0,30.582905501196965,-18.667926937717912,17470712.0,30.599214955488595,-18.646758013013855
RWA,25429.489574867745,29.921620166006193,-2.0002989081942744,8021871.0,29.81590158244344,-1.996976414370257,9008219.0,29.831420368376723,-1.9982454867201545,10293668.0,29.84961058500468,-1.9965370528332604,11609669.0,29.870514865685152,-1.9913910131566526,12996601.0,29.894208109322474,-1.9821879115113856
MAR,414726.520197577,-6.339145876545861,31.78356593432498,28950537.0,-6.598732487461907,33.144104748955584,30385497.0,-6.610886221154593,33.14917510326267,32107727.0,-6.623803716365786,33.15454148700308,34377536.0,-6.637362039689355,33.160436096330024,36444326.0,-6.651461096170455,33.16706359119927
SLE,73068.60827029054,-11.788395562952292,8.55443944294716,4060704.0,-12.044057961251223,8.429672812740401,5071275.0,-12.055760889007757,8.420977687320917,5775906.0,-12.06659160309233,8.412041632060319,6453185.0,-12.07665269123902,8.402875030522374,7160368.0,-12.086037964365376,8.393493373843546
KEN,595307.4983308398,37.75959593135348,0.5994957876618519,31065818.0,36.42986650222391,-0.5091609908602126,35349058.0,36.47094084242715,-0.47344559309939066,40328310.0,36.52673920203254,-0.427850828940144,46050313.0,36.60097156951935,-0.37001165268836467,52186713.0,36.69773154899019,-0.29735972108807357
DZA,2316660.3467378127,2.6709366834110067,27.906632486304527,31183672.0,3.5586395231945493,35.618266936423666,33267889.0,3.5478451816858243,35.58618704830602,36036160.0,3.533169816913959,35.555803167230266,39666524.0,3.5116372176447395,35.52816545825865,43007779.0,3.4762436023486,35.50572250234131
NGA,913779.277714409,8.068846220363335,9.569830234759532,122876761.0,7.201599232978135,8.623785606261361,139611317.0,7.200961118798454,8.628839127680939,159424791.0,7.200466731370572,8.634138196903843,182201912.0,7.200134826256003,8.639758627052005,206831006.0,7.199990460752853,8.645795707433487
SEN,197412.88520868542,-14.457641060433833,14.354972690869463,9860580.0,-16.00045477200544,14.498381322949651,11268995.0,-16.000454857500486,14.498381227810711,12956789.0,-16.000454608073,14.498381367415002,15129270.0,-16.000454893774165,14.498381515253003,17487413.0,-16.00045472356346,14.498381330929824
GNB,34018.96234707575,-14.979743285592216,12.01272421322459,1315454.0,-15.246550233873213,12.025582408311106,1462783.0,-15.245942973784912,12.023277558545216,1634196.0,-15.245912002632789,12.020695983432205,1844326.0,-15.246463598929681,12.017845649032028,2068360.0,-15.247600243420976,12.014742112659665
GMB,10760.694046805413,-15.374699587216226,13.44736318925241,1228865.0,-15.919442614180268,13.41964898167089,1440541.0,-15.944293529827611,13.414569295808278,1693003.0,-15.975892429120544,13.409122379095876,1990924.0,-16.0137637682786,13.40339786230343,2325503.0,-16.057186705632194,13.39751795002092
ATF,7826.309943933892,68.6239088422345,-48.97757862108325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ,790926.3087199547,35.47145429168427,-17.127092623867924,18264533.0,35.93099798184155,-18.19660984734299,21126682.0,35.918277977411805,-18.101666572896065,24321458.0,35.900043711420786,-18.006125612325967,27977871.0,35.87562836632547,-17.909383787194706,31993004.0,35.844389477799666,-17.81078200438818
STP,1008.9867800689772,6.716087457146293,0.4363540256624947,137163.0,6.705018144826049,0.36453705030276223,153145.0,6.704549413562443,0.36365046764205583,170880.0,6.704067283605067,0.36274785276277166,190345.0,6.703571878097602,0.3618280708360637,211039.0,6.703062301080726,0.36089067497046623
SWZ,17359.433781078806,31.499908816383357,-26.562765299058324,1063712.0,31.428686657333333,-26.544285070178454,1104642.0,31.427486361245695,-26.537344552028042,1193147.0,31.426244244437196,-26.530654150280768,1286969.0,31.42496255637535,-26.524211325591455,1366260.0,31.423645066395895,-26.518021989567654
CIV,323718.78298979223,-5.550451152545451,7.617594167569169,16517947.0,-5.276932784685328,6.64919754594865,18132700.0,-5.291179996278665,6.657935960393791,20131708.0,-5.30651872140324,6.668343070000609,22701557.0,-5.323084675201054,6.680664024698031,25565548.0,-5.341036718847502,6.695176956538019
SDN,1866822.5268916674,29.788250110277513,15.908608379450136,28079657.0,30.83428129185975,14.187304688862685,31990010.0,30.799765551447095,14.20097043374923,36114887.0,30.75455487388116,14.210982293903564,40234875.0,30.6997302268008,14.217644513864148,45308396.0,30.63644789627504,14.221298024069279
MDG,594541.1828818219,46.603677908939716,-19.280927980097218,15744814.0,47.323580520712085,-19.32197850770022,18290396.0,47.28873344438171,-19.317707434285946,21079543.0,47.24978132621479,-19.318520354664543,24235410.0,47.20662972763084,-19.324565343125133,27798958.0,47.1592659500528,-19.33579335988357
ESH,268493.1895493068,-13.16390526334731,24.635960462648555,305614.0,-13.570173627179113,26.223281896993143,427782.0,-13.641338038312139,26.19109297950798,512065.0,-13.717791298600174,26.14514330042643,572540.0,-13.797719969771766,26.08829560477919,631288.0,-13.879766950960343,26.022847969465808
ZAF,1224469.640564961,25.092643608615454,-28.876904976420093,44896855.0,27.75914536291912,-28.272084733447755,48352991.0,27.68415276443067,-28.25562036397086,51621480.0,27.609046820374758,-28.238921618561463,54490626.0,27.534175415456986,-28.2217813027651,56668550.0,27.459903647002157,-28.20401234889207
